,20,21,22,23
0,0.55,0.3125,0.0625,0.42105263157894735
1,0.55,0.3125,0.0625,0.42105263157894735
2,0.55,0.3125,0.0625,0.42105263157894735
3,0.35,0.34375,0.09375,0.6842105263157895
4,0.55,0.125,0.0,0.0
5,0.2,0.15625,0.125,0.6842105263157895
6,0.2,0.3125,0.09375,0.7368421052631579
7,0.2,0.15625,0.125,0.6842105263157895
8,0.2,0.3125,0.125,0.7894736842105263
9,0.55,0.34375,0.0625,0.42105263157894735
10,0.45,0.375,0.0625,0.42105263157894735
11,0.4,0.28125,0.09375,0.6842105263157895
12,0.35,0.28125,0.09375,0.631578947368421
13,0.55,0.3125,0.0625,0.6842105263157895
14,0.5,0.34375,0.0625,0.42105263157894735
15,0.45,0.3125,0.0625,0.5263157894736842
16,0.35,0.3125,0.09375,0.631578947368421
17,0.35,0.34375,0.09375,0.5789473684210527
