date,close,hs300
2019/9/11,3930.10 ,1
2019/9/10,3959.27 ,1.007422203
2019/9/9,3972.95 ,1.01090303
2019/9/6,3948.51 ,1.004684359
2019/9/5,3925.32 ,0.998783746
2019/9/4,3886.00 ,0.988778911
2019/9/3,3853.61 ,0.980537391
2019/9/2,3848.32 ,0.979191369
2019/8/30,3799.59 ,0.966792194
2019/8/29,3790.19 ,0.964400397
2019/8/28,3802.58 ,0.967552988
2019/8/27,3816.95 ,0.971209384
2019/8/26,3765.91 ,0.958222437
2019/8/23,3820.86 ,0.97220427
2019/8/22,3793.51 ,0.965245159
2019/8/21,3781.76 ,0.962255413
2019/8/20,3787.73 ,0.963774459
2019/8/19,3791.09 ,0.964629399
2019/8/16,3710.54 ,0.944133737
2019/8/15,3694.00 ,0.939925193
2019/8/14,3682.40 ,0.936973614
2019/8/13,3665.75 ,0.93273708
2019/8/12,3699.10 ,0.94122287
2019/8/9,3633.53 ,0.924538816
2019/8/8,3669.29 ,0.933637821
2019/8/7,3621.43 ,0.921460014
2019/8/6,3636.33 ,0.925251266
2019/8/5,3675.69 ,0.935266278
2019/8/2,3747.44 ,0.953522811
2019/8/1,3803.47 ,0.967779446
2019/7/31,3835.36 ,0.975893743
2019/7/30,3870.32 ,0.984789191
2019/7/29,3854.27 ,0.980705326
2019/7/26,3858.57 ,0.981799445
2019/7/25,3851.07 ,0.979891097
2019/7/24,3819.83 ,0.97194219
2019/7/23,3789.91 ,0.964329152
2019/7/22,3781.68 ,0.962235058
2019/7/19,3807.96 ,0.96892191
2019/7/18,3768.40 ,0.958856009
2019/7/17,3804.64 ,0.968077148
2019/7/16,3806.84 ,0.96863693
2019/7/15,3824.19 ,0.973051576
2019/7/12,3808.73 ,0.969117834
2019/7/11,3785.22 ,0.963135798
2019/7/10,3786.74 ,0.963522557
2019/7/9,3793.13 ,0.96514847
2019/7/8,3802.79 ,0.967606422
2019/7/5,3893.20 ,0.990610926
2019/7/4,3873.10 ,0.985496552
2019/7/3,3893.53 ,0.990694893
2019/7/2,3937.17 ,1.001798936
2019/7/1,3935.81 ,1.001452889
2019/6/28,3825.59 ,0.973407801
2019/6/27,3834.82 ,0.975756342
2019/6/26,3794.33 ,0.965453805
2019/6/25,3801.31 ,0.967229841
2019/6/24,3841.27 ,0.977397522
2019/6/21,3833.94 ,0.975532429
2019/6/20,3828.52 ,0.974153329
2019/6/19,3715.94 ,0.945507748
2019/6/18,3667.62 ,0.933212895
2019/6/17,3654.82 ,0.929955981
2019/6/14,3654.88 ,0.929971248
2019/6/13,3685.39 ,0.937734409
2019/6/12,3691.10 ,0.939187298
2019/6/11,3719.28 ,0.946357599
2019/6/10,3610.74 ,0.918739981
2019/6/6,3564.68 ,0.907020178
2019/6/5,3597.11 ,0.915271876
2019/6/4,3598.47 ,0.915617923
2019/6/3,3632.01 ,0.924152057
2019/5/31,3629.79 ,0.923587186
2019/5/30,3641.18 ,0.926485331
2019/5/29,3663.91 ,0.932268899
2019/5/28,3672.26 ,0.934393527
2019/5/27,3637.20 ,0.925472634
2019/5/24,3593.91 ,0.914457647
2019/5/23,3583.96 ,0.911925905
2019/5/22,3649.38 ,0.928571792
2019/5/21,3666.78 ,0.93299916
2019/5/20,3617.79 ,0.920533829
2019/5/17,3648.76 ,0.928414035
2019/5/16,3743.96 ,0.952637337
2019/5/15,3727.09 ,0.948344826
2019/5/14,3645.15 ,0.927495484
2019/5/13,3668.73 ,0.933495331
2019/5/10,3730.45 ,0.949199766
2019/5/9,3599.70 ,0.915930892
2019/5/8,3667.46 ,0.933172184
2019/5/7,3720.67 ,0.94671128
2019/5/6,3684.62 ,0.937538485
2019/4/30,3913.21 ,0.995702399
