date,zx_1,zx_2,zx_3,hs300,zhongzhai10,nh_gyp,nh_ncp,nh_js,nh_nh,zz500,zz1000,sz50,hs300_cz,hs301_jz,zz500_cz,zz501_jz,300zq,300fz
2019/9/25,3540.8091,3542.9837,3463.7747,3870.9837,168.1412,2282.82,747.65,3342.95,1329.13,5087.0091,5421.6247,2928.8351,4775.2786,4811.1024,5443.0409,7127.8912,3747.4094,4285.4287
2019/9/24,3586.761,3588.9638,3512.364,3901.0758,168.1021,2284.22,745.56,3345.93,1329.5,5180.7418,5528.8929,2940.0806,4813.6934,4824.266,5533.1542,7223.2192,3753.4091,4343.1017
2019/9/23,3573.9301,3576.125,3510.298,3890.6616,168.252,2316.2,749.17,3377.61,1350.18,5171.484,5501.2148,2930.9132,4780.6037,4828.7052,5508.4494,7226.3724,3754.854,4319.4267
2019/9/20,3605.565,3607.7793,3548.6011,3935.6511,168.1784,2288.17,752.8,3330.13,1340.23,5204.4848,5556.4776,2963.4349,4832.3275,4888.1803,5550.1231,7302.458,3800.0609,4367.4902
2019/9/19,3610.9088,3613.1264,3555.1068,3924.3823,168.0983,2296.44,757.29,3330.45,1350.18,5191.6687,5550.4072,2956.8294,4808.3841,4880.2293,5535.0413,7308.0213,3794.8077,4349.0551
2019/9/18,3580.8637,3583.0628,3532.551,3910.0837,167.9339,2324.48,762.22,3391.22,1356.11,5141.0381,5485.8788,2954.3577,4796.0322,4877.1341,5474.8219,7282.7641,3788.7997,4324.9707
2019/9/17,3565.6445,3567.8342,3522.602,3891.2208,168.3087,2351.39,764.48,3403.85,1381.76,5140.4502,5492.2224,2937.0077,4741.3126,4867.0556,5463.7746,7275.2392,3786.7876,4286.9666
2019/9/16,3637.652,3639.8859,3598.3634,3957.7154,168.4302,2344.39,761.39,3431.72,1361.66,5250.3398,5627.2352,2982.4481,4813.6824,4947.6389,5563.813,7418.2505,3856.3874,4355.0817
2019/9/12,3637.6821,3639.916,3597.3861,3972.3799,168.3867,2325.78,756.6,3455.94,1331.57,5242.6115,5592.9216,2999.5617,4824.3215,4974.8301,5560.3882,7416.5913,3882.7538,4358.5178
2019/9/11,3616.941,3619.1621,3569.6405,3930.0999,168.7793,2308.65,759.46,3411.68,1331.25,5217.2913,5566.4083,2957.1439,4749.232,4917.4991,5540.8666,7374.1498,3833.2763,4320.7
2019/9/10,3621.0229,3623.2465,3573.1481,3959.265,168.8464,2304.35,760.6,3403.56,1330.79,5245.305,5614.5756,2969.8048,4821.2021,4902.9933,5565.1714,7388.3976,3821.0682,4395.5169
2019/9/9,3606.0575,3608.2719,3555.5643,3972.9484,169.0691,2306.36,760.39,3404.06,1332.97,5263.4594,5602.2416,2981.5862,4848.2456,4927.6359,5588.5672,7390.155,3835.6852,4409.2239
2019/9/6,3545.2739,3547.451,3497.3784,3948.5075,169.0984,2262.46,762.89,3331.59,1315.54,5154.6378,5468.4591,2981.0728,4825.472,4922.8393,5469.0187,7288.5468,3827.4445,4365.9508
2019/9/5,3544.5981,3546.7748,3493.4809,3925.323,169.1014,2275.03,766.47,3367.79,1314.15,5138.4051,5445.5743,2955.8399,4789.7002,4877.8326,5449.0631,7278.2058,3800.8134,4344.6871
2019/9/4,3515.2192,3517.3779,3469.0897,3886.0012,168.6401,2267.47,776.88,3362.88,1307.02,5093.2662,5394.7063,2919.6782,4756.3441,4833.6399,5394.1593,7254.7833,3754.464,4309.8664
2019/9/3,3489.221,3491.3637,3438.9253,3853.6106,168.5266,2252.71,777.56,3344.09,1296.59,5044.1805,5357.0603,2892.1821,4745.3365,4768.0922,5347.085,7158.76,3701.4509,4296.7716
2019/9/2,3453.9639,3456.0849,3401.7007,3848.3198,168.4712,2245.14,775.98,3317.38,1299.14,5008.2958,5317.5333,2894.9575,4735.0443,4770.4701,5301.5501,7144.3976,3703.4799,4283.3981
2019/8/30,3381.0102,3383.0864,3330.2176,3799.5863,168.5754,2225.21,773.94,3263.07,1299.3,4886.494,5182.9555,2872.401,4669.3635,4724.3178,5171.0989,7010.9312,3660.3273,4225.2168
2019/8/29,3429.3122,3431.4181,3386.9798,3790.1867,168.8178,2186.32,777.07,3198.08,1282.07,4934.1838,5260.9496,2855.4504,4623.0679,4720.2337,5220.7278,7086.861,3659.1491,4206.4848
2019/8/28,3433.0571,3435.1653,3387.1485,3802.5844,168.5723,2200.04,776.06,3217.37,1290.39,4928.1935,5256.1774,2867.0269,4622.1082,4755.1481,5216.1873,7117.5759,3685.0942,4205.5539
2019/8/27,3434.7502,3436.8594,3393.6382,3816.9459,168.5975,2184.54,773.23,3199.34,1283.39,4936.1238,5266.6579,2887.2385,4638.9281,4781.7339,5231.2883,7113.709,3714.0484,4205.6327
2019/8/26,3371.3734,3373.4436,3333.2896,3765.9105,168.6391,2194.59,777.83,3219.3,1285.2,4855.4584,5168.6795,2863.4793,4576.5261,4743.2565,5154.1418,7020.4914,3684.0693,4128.7139
2019/8/23,3374.6145,3376.6867,3336.5339,3820.8638,168.437,2222.88,775.86,3267.48,1295.79,4887.9024,5197.5481,2917.3773,4656.3664,4825.437,5206.2239,7067.4442,3745.9505,4180.4243
2019/8/22,3383.6778,3385.7555,3346.7919,3793.5061,168.4522,2217.36,771.22,3249.77,1297.45,4887.9142,5208.552,2878.0047,4588.6879,4784.0141,5202.1365,7065.9889,3717.0235,4152.7053
2019/8/21,3377.6981,3379.7721,3341.5592,3781.7579,168.4558,2215.7,766.09,3234.8,1301.38,4882.7213,5186.6218,2869.2196,4557.5671,4789.1924,5209.4135,7071.6928,3721.3825,4123.1634
2019/8/20,3361.2747,3363.3386,3324.6527,3787.7324,168.6787,2233.8,764.96,3260.29,1309.22,4872.6061,5185.2652,2875.653,4561.6205,4800.7668,5199.9067,7064.8114,3726.1784,4130.8158
2019/8/19,3345.5667,3347.621,3311.7796,3791.0946,168.7523,2243.03,763.25,3288.01,1307.3,4875.0363,5173.1766,2877.2312,4548.4871,4814.0402,5209.8715,7055.4209,3735.0583,4128.6254
2019/8/16,3245.9459,3247.939,3201.4786,3710.5386,168.7032,2231.2,763.4,3286.12,1294.24,4722.6625,5013.5824,2824.2258,4464.9113,4735.4495,5057.1639,6856.6921,3655.0492,4041.5739
2019/8/15,3229.1745,3231.1573,3193.8019,3694.0006,168.7153,2235.13,765.14,3270.17,1303.44,4706.5504,4985.4213,2814.3881,4428.0997,4728.7205,5040.4946,6855.9975,3646.2569,4015.6848
2019/8/14,3223.0125,3224.9915,3194.859,3682.4015,168.6406,2239.03,766.24,3275.25,1307.02,4683.8403,4961.7505,2804.3553,4401.7509,4715.0397,5022.6186,6858.4475,3637.642,4000.0987
2019/8/13,3182.7768,3184.7311,3160.173,3665.7515,168.6759,2228.92,770.67,3270.71,1295.03,4658.3884,4928.4648,2792.9137,4363.1924,4712.7396,4993.283,6827.4398,3640.5711,3961.6603
2019/8/12,3211.8478,3213.82,3189.5914,3699.1047,168.3593,2236.53,768.61,3275.91,1302.55,4685.045,4952.2171,2824.8041,4405.1635,4769.5806,5028.3952,6870.6103,3681.8567,3989.1339
2019/8/9,3166.4468,3168.3911,3145.3966,3633.5296,168.4663,2219.92,766.75,3256.32,1292.4,4600.3526,4869.7924,2772.1492,4310.2444,4705.2443,4939.8616,6771.7824,3626.3368,3908.1771
2019/8/8,3198.9762,3200.9405,3182.9698,3669.2936,168.1681,2239.3,763.71,3292.99,1297.23,4656.1009,4923.3268,2786.8715,4348.9338,4730.0256,4981.49,6846.9313,3649.4286,3959.8801
2019/8/7,3172.197,3174.1449,3161.3519,3621.431,168.188,2232.61,764.8,3270.27,1299.57,4626.3641,4885.4401,2747.2491,4288.36,4673.8043,4935.9453,6819.5874,3607.1303,3902.6548
2019/8/6,3184.5634,3186.5189,3168.5331,3636.3289,168.1142,2257.34,765.91,3313.42,1309.2,4650.5627,4899.8161,2760.6799,4300.2177,4692.5804,4944.076,6831.3864,3620.0833,3920.6906
2019/8/5,3288.639,3290.6584,3280.4912,3675.6884,168.1019,2259.57,760.29,3329.53,1305.99,4751.9846,5032.6422,2786.7196,4323.4611,4734.8018,5032.5194,7001.9419,3651.8481,3970.9203
2019/8/2,3350.8177,3352.8753,3339.4212,3747.4379,167.6574,2287.13,760.1,3381.09,1314.78,4809.9198,5091.0633,2843.7704,4416.937,4833.0638,5105.3023,7106.5227,3722.1054,4049.5111
2019/8/1,3417.0951,3419.1934,3417.7124,3803.4694,167.1112,2317.56,756.68,3403.49,1340.56,4870.469,5173.2289,2887.8665,4474.6471,4905.1626,5164.3138,7207.9885,3783.3512,4104.1848
2019/7/31,3433.4374,3435.5458,3433.612,3835.3589,166.9968,2333.53,761.27,3426.68,1350.35,4903.203,5200.0945,2912.6612,4519.125,4946.955,5198.1499,7258.5733,3820.0013,4133.4183
2019/7/30,3465.4332,3467.5612,3471.8511,3870.3176,166.8295,2334.01,760.02,3444.36,1344.96,4922.9175,5239.7181,2944.025,4564.0301,5011.7692,5218.24,7298.2836,3864.644,4160.7753
2019/7/29,3442.5089,3444.6228,3445.2269,3854.2704,166.7671,2320.46,757.58,3409.07,1344.72,4897.0183,5218.9831,2930.4891,4544.7277,4984.7586,5198.567,7256.2298,3840.0966,4152.4764
2019/7/26,3454.8173,3456.9387,3453.8838,3858.5688,166.8472,2333.43,758.55,3435.75,1348.35,4898.1099,5216.6018,2939.3547,4545.0297,4999.715,5190.937,7258.5941,3861.0608,4139.5864
2019/7/25,3462.3521,3464.4781,3460.0759,3851.0665,166.8824,2324.55,759.96,3418.41,1345.5,4891.6432,5211.0858,2931.1758,4520.765,4990.4018,5174.4386,7244.224,3856.6042,4128.3337
2019/7/24,3465.444,3467.5719,3463.3368,3819.8325,166.7964,2318.93,759.84,3405.34,1345.35,4873.0271,5194.829,2906.5502,4483.2927,4953.5791,5158.4493,7238.0092,3827.2097,4092.8718
2019/7/23,3430.8588,3432.9655,3421.6952,3789.9135,166.9276,2331.91,756.84,3435.74,1346.28,4823.9182,5131.0973,2881.0982,4447.3479,4915.08,5097.7185,7189.3748,3797.139,4060.9127
2019/7/22,3393.223,3395.3066,3393.0213,3781.6832,166.8771,2335.79,759.7,3445.31,1344.32,4776.5749,5073.3332,2881.9038,4446.2749,4917.0393,5045.3735,7148.9214,3801.0078,4039.3695
2019/7/19,3489.7327,3491.8756,3504.6715,3807.9551,166.7985,2369.3,762.93,3512.74,1352.05,4878.6903,5220.0273,2895.6249,4459.6501,4944.8529,5137.8093,7286.3709,3833.501,4061.0381
2019/7/18,3463.4757,3465.6025,3476.9704,3768.4019,166.7058,2354.7,763.8,3458.64,1354.2,4844.1087,5194.6017,2859.1646,4424.171,4877.1467,5103.8829,7241.4814,3774.1537,4039.3676
2019/7/17,3532.0613,3534.2302,3546.0189,3804.6384,166.5381,2359.33,763.69,3468.52,1355.35,4929.085,5289.4244,2875.0299,4466.1911,4903.6131,5195.9376,7362.2551,3792.4712,4097.0887
2019/7/16,3537.775,3539.9474,3552.0682,3806.8449,166.6012,2360.56,764.98,3461.91,1362.52,4932.0458,5285.229,2884.561,4462.6896,4907.3827,5197.3701,7371.6935,3798.366,4095.5818
2019/7/15,3539.5943,3541.7678,3552.4381,3824.1878,166.5203,2359.17,768.78,3440.83,1368.55,4925.3243,5273.8148,2902.6099,4499.1892,4916.1247,5185.4028,7344.5373,3810.2422,4119.9437
2019/7/12,3507.9708,3510.1249,3519.0378,3808.7311,166.5917,2337.94,762.39,3391.77,1366.46,4861.5679,5219.1888,2902.1295,4504.8018,4911.7914,5140.2891,7286.4705,3803.1404,4094.5719
2019/7/11,3494.4463,3496.592,3504.5011,3785.221,166.482,2347.9,761.11,3399.35,1374.81,4844.5474,5206.3985,2887.8313,4473.8168,4884.033,5123.3558,7248.9052,3774.4194,4074.809
2019/7/10,3494.8876,3497.0336,3505.5885,3786.739,166.367,2332.83,760.47,3399.91,1357.23,4843.8649,5214.6441,2878.7812,4489.1539,4880.068,5115.5153,7241.1446,3770.4487,4082.2174
2019/7/9,3537.3544,3539.5265,3547.0115,3793.1297,166.3605,2327.24,759.78,3396.62,1352.99,4881.6235,5260.3435,2881.5517,4488.4089,4897.5569,5166.8393,7326.4226,3785.3726,4080.0935
2019/7/8,3545.3404,3547.5174,3556.007,3802.7897,166.3276,2329.69,765.33,3375.2,1365.56,4870.7807,5244.2661,2897.5121,4513.39,4924.3673,5148.2403,7300.586,3800.7616,4084.4314
2019/7/5,3678.7628,3681.0218,3691.4529,3893.2025,166.3256,2313.8,762.8,3342.26,1361.99,5042.6599,5424.2503,2961.9222,4627.3254,5040.4168,5319.189,7534.9446,3893.341,4179.2086
2019/7/4,3660.3977,3662.6454,3673.9716,3873.1019,166.4372,2329.63,758.04,3385.36,1359.66,5025.0207,5404.3836,2953.2719,4572.8062,5046.4328,5300.6239,7522.4714,3894.0357,4135.7356
