,0,1,2,3,4
0,bench,,,,
1,0,,,,
2,,20.0,21.0,22.0,23.0
3,0.0,0.022213446950370086,0.01543740805383864,0.020394119877797268,0.020394119877797268
4,1.0,0.02226881508146117,0.015472697586019326,0.02044490803572896,0.02044490803572896
5,2.0,0.022189072958242573,0.013361991586153366,0.020371761996970997,0.020371761996970997
6,3.0,0.014391854756008016,0.009772108476472141,0.013217271191583444,0.013217271191583444
7,4.0,0.03079138387368952,0.01980345510319981,0.02825985057219293,0.02825985057219293
8,5.0,-0.0013443625174897054,-0.003262242384175273,-0.001235427512437104,-0.001235427512437104
9,6.0,-0.009216822432552174,-0.005090829475184688,-0.008472687742747231,-0.008472687742747231
10,7.0,0.02052318774626971,0.01081665283920463,0.018843569113604408,0.018843569113604408
11,8.0,-0.01318086923912032,-0.010815525533865887,-0.012118653309687531,-0.012118653309687531
12,9.0,0.004889932874674985,0.0042421302301902655,0.0044925626122493964,0.0044925626122493964
13,10.0,0.010132765187420343,0.007393529021432644,0.009307378602116723,0.009307378602116723
14,11.0,0.02289101809889904,0.015163943802910309,0.021015627970367268,0.021015627970367268
15,12.0,0.02421938599330153,0.018583206739234196,0.022233988254338977,0.022233988254338977
16,13.0,0.03531701589773584,0.021555643728200517,0.03240758885806727,0.03240758885806727
17,14.0,0.008017612717636123,0.006373596733350251,0.007365148169238278,0.007365148169238278
18,15.0,0.023372498391458718,0.013514301769494752,0.021457249712869556,0.021457249712869556
19,16.0,0.012996538086655685,0.007407009330132164,0.011936501517392895,0.011936501517392895
20,17.0,0.01678105899252591,0.012710837319651171,0.015410004755444406,0.015410004755444406
21,rety,,,,
22,0,,,,
23,,20.0,21.0,22.0,23.0
24,0.0,-0.011748360040740868,0.002259679203334475,0.06604284306447261,0.009475231396913976
25,1.0,-0.01169483144892336,0.002259687342701433,0.06604284306447261,0.00947521815221264
26,2.0,-0.011771924236422482,0.000723333953729588,0.06604284306447261,0.009491043665309506
27,3.0,0.021048461391464542,0.008967595799148409,0.03639307589639485,0.0046555019545770895
28,4.0,0.025219085798936725,-0.0012428854896822106,0.005470871751067197,0.01896906858645231
29,5.0,-0.009853232572960223,0.016669702912696316,0.015279618879119994,0.032665183486166205
30,6.0,-0.01915197543994962,0.004295172334549013,0.00012706991560063052,0.001532766204526581
31,7.0,0.001309994444632201,0.027436688686108383,0.01453353235565924,0.034396005421906566
32,8.0,-0.013377009787681748,0.008308802376482127,0.01677285720883015,0.03884519608560644
33,9.0,-0.020881881243159373,0.0030686960009131963,0.0572451981437363,-0.021892300558577826
34,10.0,-0.021445908500175026,-0.0009271999054242251,0.06543024514347717,-0.017350083207844702
35,11.0,0.04807616865191067,0.012285321805838523,0.03150826901834547,0.02284992948373632
36,12.0,0.02849897220722597,0.014593757344680824,0.031840046039534935,0.00557821200974562
37,13.0,0.047996102218226484,0.01034028672051335,0.03183306700493893,0.030183290720739775
38,14.0,-0.024195049548149328,0.005290818090061489,0.05421850598622502,-0.02120976764380633
39,15.0,-0.00472683523007711,0.006027658931970548,0.0540541360010347,-0.004518226227521183
40,16.0,0.039838264684811435,0.005359580033531318,0.029131807448980137,0.025044548580924086
