date,kqzs,gyzjz,gyzjz_qgy,gyzjz_zgy,gyzjz_cky,gyzjz_zzy,gyzjz_gy,gyzjz_jt,gyzjz_gfhz,gyzjz_gf,gyzjz_ws,gyzjz_sy,chanliang_ym,chanliang_jt,chanliang_fdl,chanliang_trq,chanliang_gc,chanliang_tc,chanliang_xny,chanliang_cd,chanliang_kt,chanliang_bx,chanliang_xyj,pmi,pmi_sc,pmi_xdd,pmi_xckdd,pmi_zsdd,pmi_ccpkc,pmi_cgl,pmi_jk,pmi_ccjg,pmi_ycljg,pmi__yclkc,pmi_cyry,pmi_pssj,pmi_yq,cpi,cpi_sp,cpi_fsp,cpi_hx,cpi_xfp,cpi_fw,ppi_gyp,rpi,M1,M2,gbcs,gdzc,gdzc_xz,gdzc_fdc,gdzc_1,gdzc_2,gdzc_3,gdzc_zyxm,gdzc_dfxm,jckje,ckje,yhjshce,shxfplsze,zqfxl_gz,shrzgm,jqzs_yj,jqzs_yz,jqzs_xx,jqzs_zh
,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y,y
2018/8/31,10.55,6.1,,,2,6.1,5.6,-1.2,2.3,6.4,4.9,5.6,4.2,-1.1,7.3,9.7,6.4,13.4,12.5,18.4,-0.4,0.5,6.8,51.3,53.3,52.2,49.4,46.7,47.4,51.8,49.1,54.3,58.7,48.7,49.4,49.6,57,2.3,1.7,2.5,2,2.1,2.6,4.1,2.2665,3.9,8.2,5.748635,5.3,,18.43,3.5,37.2,59.3,,,14.48,9.55,-148.6017,9,3243.8,19532.90031,,100.9,100.9,98.9
2018/9/30,10.34,5.8,,,2.2,5.7,5.6,2,1.6,6.3,3.2,6.2,5.2,-0.1,4.6,8.5,9.8,4.6,50,10.6,9.3,6,-2.8,50.8,53,52,48,45.2,47.4,51.5,48.5,54.3,59.8,47.8,48.3,49.7,56.4,2.5,3.6,2.2,1.7,2.7,2.1,3.6,2.6463,4,8.3,5.66707,5.4,,18.34,3.5,37.4,59.2,,,14.12,13.87,-175.6468,9.2,3246.6,21342.15556,,100.3,100.3,99.3
2018/10/31,10.08,5.9,,,3.8,6.1,4.6,-3.6,5.1,6.7,3.9,6.2,8,4.5,4.8,7.5,11.5,1.7,49.5,17,-0.4,5.2,4,50.2,52,50.8,46.9,44.3,47.1,51,47.6,52,58,47.2,48.1,49.5,56.4,2.5,3.3,2.4,1.8,2.8,2.1,3.3,2.7943,2.7,8,6.021918,5.7,,18.14,3.5,37.4,59.1,,,17.01,14.29,-29.2761,8.6,3094.8,7373.524657,,99.6,99.6,99.5
2018/11/30,10.85,5.4,,,2.3,5.6,3.9,2,-2.6,6.6,1.9,6.6,4.5,1.9,3.6,10.1,11.3,9.4,24.6,7.9,7.6,7.6,-5.9,50,51.9,50.4,47,44.3,48.6,50.8,47.1,46.4,50.3,47.4,48.3,50.3,54.2,2.2,2.5,2.1,1.8,2.2,2.1,2.7,2.1521,1.5,8,5.928527,5.9,,18.07,3.5,37.4,59.1,,,3.43,3.92,-178.9187,8.1,2598.8,16042.47561,,98.8,98.8,99.6
2018/12/31,11.58,5.7,,,3.6,5.5,3.6,-1.4,10.3,7,1.7,7.8,2.1,4.9,6.2,10,9.1,15.5,15.5,10.5,10.6,5.8,-2.9,49.4,50.8,49.7,46.6,44.1,48.2,49.8,45.9,43.3,44.8,47.1,48,50.4,52.7,1.9,2.5,1.7,1.8,1.7,2.1,0.9,1.433,1.5,8.1,5.51959,5.9,,18.92,3.5,37.4,59,,,-5.94,-4.61,-70.8673,8.160814,3856.6,16221.47242,,98.2,98.2,99.5
2019/1/31,,6.797753,,,,,,,,,,,,,,,,,,,,,,49.5,50.9,49.6,46.9,43.7,47.1,49.1,47.1,44.5,46.3,48.1,47.8,50.1,52.5,1.7,1.9,1.7,1.9,1.3,2.4,0.1,0.9575,0.4,8.4,5.956959,,,,,,,,,4.2,9.2,120.5383,,1700,46184.27389,,97.8,97.8,99.3
2019/2/28,7.08,3.360717,,,,,,,,,,,,,,,,,,,,,,49.2,49.5,50.6,45.2,43.6,46.4,48.3,44.8,48.5,51.9,46.3,47.5,49.8,56.2,1.5,0.7,1.7,1.8,1.1,2.1,0.1,1.0009,2,8,6.15157,6.1,,26.96,2.1,30.9,67,,,-13.5,-20.8,-150.4357,8.2,1600,7089.435886,,97.6,97.6,99.2
2019/3/31,8.05,8.5,,,4.6,9,4.7,,,10,4.2,14.2,2.7,5.4,5.4,9.8,11.4,14.2,41.6,3.1,22.3,1.9,5.5,50.5,52.7,51.6,47.1,46.4,47,51.2,48.7,51.4,53.5,48.4,47.6,50.2,56.8,2.3,4.1,1.8,1.8,2.4,2,0.4,1.9152,4.6,8.6,6.221085,6.3,,23.37,2.4,32.6,65,,,2.9,13.8,-61.4289,8.7,1500,28765.62104,,97.6,97.6,99.2
2019/4/30,8.94,5.4,,,2.9,5.3,6,,,6.3,2.5,5.1,0.1,3.4,3.8,7.9,11.5,5.3,17.1,5.7,15.4,2.1,9.4,50.1,52.1,51.4,49.2,44,46.5,51.1,49.7,52,53.1,47.2,47.2,49.9,56.5,2.5,6.1,1.7,1.7,2.9,2,0.9,1.9931,2.9,8.5,6.308075,6.1,,21.97,2.4,32.8,64.7,,,0.5,-2.8,-109.7964,7.2,3432.2,14074.47694,,97.7,97.7,99.3
2019/5/31,6.76,5,,,3.9,5,3.7,,,6.6,-0.3,7.8,3.5,5.7,0.2,12.9,11.5,9.9,16,0.8,6.4,0.6,19.8,49.4,51.7,49.8,46.5,44.3,48.1,50.5,47.1,49,51.8,47.4,47,50.9,54.5,2.7,7.7,1.6,1.6,3.2,1.9,0.6,2.1,3.4,8.5,6.218545,5.6,,21.18,2.68,33.62,63.7,,,-3.5,1,61.9562,8.6,3953.2,14526.80273,,97.7,97.7,99.4
2019/6/30,8.58,6.3,,,7.3,6.2,6.2,,,7.6,1.8,8.3,10.4,10.7,2.8,13.1,12.6,13.4,50.5,-1.7,2.4,2.8,19.8,49.4,51.3,49.6,46.3,44.5,48.1,49.7,46.8,45.4,49,48.2,46.9,50.2,53.4,2.7,8.3,1.4,1.6,3.2,1.8,0,1.8,4.4,8.5,6.136845,5.8,,20.6,2.82,33.46,63.72,,,-4,-1.3,-193.0143,9.8,3442.4,22998.3414,,97.7,97.7,99.4
2019/7/31,7.36,4.8,,,6.6,4.5,3.7,,,6.1,-0.2,7.3,12.2,5.9,0.6,6.1,9.6,2.2,9.1,-12.1,-3,9,-7.3,49.7,52.1,49.8,46.9,44.7,47,50.4,47.4,46.9,50.7,48,47.1,50.1,53.6,2.8,9.1,1.3,1.6,3.4,1.8,-0.3,1.8,3.1,8.1,6.371267,5.7,,20.88,2.8,33.75,63.45,,,-0.7,3.3,-61.4668,7.6,3284.5,10839.76598,,,,
2019/8/31,8.04,4.4,,,3.7,4.3,4.1,,,5.3,1.3,6,5,4.6,1.7,6.6,9.8,5.2,9.9,-12.8,-2.9,-5.2,4.9,49.5,51.9,49.7,47.2,44.8,47.8,49.3,46.7,46.7,48.6,47.5,46.9,50.3,53.3,2.8,10,1.1,1.5,3.6,1.6,-0.8,1.8,3.4,8.2,6.444751,5.5,,21.11,2.75,32.9,64.35,,,-3.2,-1,-53.8329,7.5,3944.4,20174.51806,,,,
2019/9/30,,5.8,,,8.1,5.6,4.9,,,6.9,2.9,6.7,4.4,3.2,4.7,10.6,6.9,11.1,-24.2,-4,10.6,3.9,7.6,49.8,52.3,50.5,48.2,44.7,47.1,50.4,47.1,49.9,52.2,47.6,47,50.5,54.4,3,11.2,1,1.5,4,1.3,-1.2,1.9,3.4,8.4,6.38,5.4,,21.25,2.51,30,67.49,,,-5.7,-3.2,,7.8,3581.9,22724.8,,,,
