date,ckzbj,USDCNY,hqckll,dqckll_3,dqckll_6,dqdkll_1y,ccqdklv_5y,gjjdkll_5y,shibor_gy,shibor_1,shibor_1y,zzgz_1,zzgz_2,zzgz_1y,zzgz_10y
2010/03/08,,6.6322 ,,,,,,,1.3785 ,1.8419 ,2.3521 ,1.1563 ,1.2148 ,1.5105 ,3.3602 
2010/03/09,,6.6447 ,,,,,,,1.3663 ,1.8379 ,2.3520 ,1.1611 ,1.2380 ,1.5106 ,3.3817 
2010/03/10,,6.6359 ,,,,,,,1.3592 ,1.8340 ,2.3520 ,1.1588 ,1.2410 ,1.5364 ,3.4030 
2010/03/11,,6.6356 ,,,,,,,1.3563 ,1.8299 ,2.3521 ,1.1588 ,1.2441 ,1.5274 ,3.4559 
2010/03/12,,6.6279 ,,,,,,,1.3446 ,1.8189 ,2.3524 ,1.1505 ,1.2396 ,1.5378 ,3.4526 
2010/03/15,,6.6407 ,,,,,,,1.3375 ,1.8019 ,2.3520 ,1.1571 ,1.2609 ,1.5280 ,3.4484 
2010/03/16,,6.6492 ,,,,,,,1.3354 ,1.7927 ,2.3521 ,1.1582 ,1.2655 ,1.5281 ,3.4331 
2010/03/17,,6.6668 ,,,,,,,1.3275 ,1.7879 ,2.3521 ,1.1554 ,1.2659 ,1.5281 ,3.3829 
2010/03/18,,6.6645 ,,,,,,,1.3246 ,1.7836 ,2.3526 ,1.1636 ,1.2859 ,1.5181 ,3.3639 
2010/03/19,,6.6641 ,,,,,,,1.3238 ,1.7792 ,2.3525 ,1.1585 ,1.2764 ,1.5185 ,3.3805 
2010/03/22,,6.6729 ,,,,,,,1.3163 ,1.7753 ,2.3530 ,1.1798 ,1.3049 ,1.5083 ,3.4216 
2010/03/23,,6.6754 ,,,,,,,1.3146 ,1.7682 ,2.3535 ,1.1877 ,1.3081 ,1.5175 ,3.4062 
2010/03/24,,6.6695 ,,,,,,,1.3133 ,1.7652 ,2.3530 ,1.1887 ,1.3094 ,1.5176 ,3.3961 
2010/03/25,,6.6814 ,,,,,,,1.3083 ,1.7629 ,2.3528 ,1.1927 ,1.3136 ,1.5076 ,3.4168 
2010/03/26,,6.6758 ,,,,,,,1.3042 ,1.7603 ,2.3525 ,1.1609 ,1.2635 ,1.5181 ,3.4582 
2010/03/29,,6.6671 ,,,,,,,1.3025 ,1.7532 ,2.3533 ,1.1328 ,1.2233 ,1.5076 ,3.4784 
2010/03/30,,6.6573 ,,,,,,,1.2946 ,1.7461 ,2.3526 ,1.1028 ,1.1833 ,1.5301 ,3.4959 
2010/03/31,,6.6595 ,,,,5.31 ,,,1.3388 ,1.7403 ,2.3525 ,1.1315 ,1.1934 ,1.5501 ,3.4818 
2010/04/01,,6.6590 ,,,,,,,1.3045 ,1.7375 ,2.3525 ,1.1215 ,1.1970 ,1.5782 ,3.4742 
2010/04/02,,,,,,,,,1.3125 ,1.7402 ,2.3523 ,1.1137 ,1.1852 ,1.5947 ,3.4800 
2010/04/06,,,,,,,,,1.3096 ,1.7392 ,2.3522 ,1.1159 ,1.1917 ,1.6000 ,3.5021 
2010/04/07,,6.6289 ,,,,,,,1.2971 ,1.7442 ,2.3556 ,1.1196 ,1.2168 ,1.6200 ,3.5182 
2010/04/08,,6.6358 ,,,,,,,1.2925 ,1.7471 ,2.3583 ,1.1122 ,1.2077 ,1.6400 ,3.5549 
2010/04/09,,6.6240 ,,,,,,,1.2913 ,1.7475 ,2.3595 ,1.1293 ,1.2495 ,1.6709 ,3.5468 
2010/04/12,,6.6190 ,,,,,,,1.2842 ,1.7471 ,2.3607 ,1.1377 ,1.2745 ,1.6600 ,3.5343 
2010/04/13,,6.6357 ,,,,,,,1.2833 ,1.7468 ,2.3610 ,1.1455 ,1.2919 ,1.6551 ,3.5031 
2010/04/14,,6.6260 ,,,,,,,1.2838 ,1.7474 ,2.3619 ,1.1465 ,1.2934 ,1.6503 ,3.5043 
2010/04/15,,6.6142 ,,,,,,,1.2813 ,1.7478 ,2.3624 ,1.1459 ,1.2949 ,1.6504 ,3.5071 
2010/04/16,,6.6215 ,,,,,,,1.2874 ,1.7463 ,2.3632 ,1.1400 ,1.2759 ,1.6607 ,3.4813 
2010/04/19,,6.6285 ,,,,,,,1.2875 ,1.7464 ,2.3633 ,1.1328 ,1.2609 ,1.6394 ,3.4116 
2010/04/20,,6.6242 ,,,,,,,1.2896 ,1.7459 ,2.3619 ,1.1482 ,1.2907 ,1.6393 ,3.4086 
2010/04/21,,6.6183 ,,,,,,,1.2917 ,1.7438 ,2.3615 ,1.1500 ,1.2920 ,1.6193 ,3.4354 
2010/04/22,,6.6146 ,,,,,,,1.2933 ,1.7406 ,2.3636 ,1.1490 ,1.2905 ,1.6392 ,3.4093 
2010/04/23,,6.6022 ,,,,,,,1.2888 ,1.7426 ,2.3650 ,1.1688 ,1.3047 ,1.6300 ,3.4106 
2010/04/26,,6.6069 ,,,,,,,1.2896 ,1.7473 ,2.3656 ,1.1650 ,1.3058 ,1.6181 ,3.3715 
2010/04/27,,6.6097 ,,,,,,,1.3319 ,1.7465 ,2.3655 ,1.1885 ,1.3101 ,1.5991 ,3.3768 
2010/04/28,,6.6232 ,,,,,,,1.3425 ,1.7472 ,2.3655 ,1.1961 ,1.3129 ,1.5792 ,3.3456 
2010/04/29,,6.6255 ,,,,,,,1.3529 ,1.7474 ,2.3664 ,1.2043 ,1.3163 ,1.5792 ,3.3607 
2010/04/30,,6.6129 ,,,,5.31 ,,,1.3973 ,1.7562 ,2.3665 ,1.2361 ,1.3147 ,1.5892 ,3.3565 
2010/05/02,17.00 ,,,,,,,,,,,,,,
2010/05/03,,6.6173 ,,,,,,,,,,,,,
2010/05/04,,6.6170 ,,,,,,,1.3979 ,1.7614 ,2.3668 ,1.2104 ,1.2899 ,1.6100 ,3.3826 
2010/05/05,,6.6493 ,,,,,,,1.4093 ,1.7668 ,2.3678 ,1.2076 ,1.2803 ,1.6099 ,3.3636 
2010/05/06,,6.6646 ,,,,,,,1.4088 ,1.7704 ,2.3682 ,1.2049 ,1.2761 ,1.6435 ,3.3485 
2010/05/07,,6.7425 ,,,,,,,1.4088 ,1.7783 ,2.3677 ,1.2067 ,1.2791 ,1.6568 ,3.2721 
2010/05/10,,6.6827 ,,,,,,,1.5054 ,1.7817 ,2.3684 ,1.2533 ,1.2781 ,1.6611 ,3.3027 
2010/05/11,,6.6646 ,,,,,,,1.5042 ,1.7881 ,2.3702 ,1.2485 ,1.2695 ,1.6911 ,3.2983 
2010/05/12,,6.6883 ,,,,,,,1.5008 ,1.7918 ,2.3680 ,1.2472 ,1.2703 ,1.7086 ,3.2781 
2010/05/13,,6.6703 ,,,,,,,1.4983 ,1.7938 ,2.3685 ,1.2720 ,1.3076 ,1.7110 ,3.2686 
2010/05/14,,6.6629 ,,,,,,,1.5000 ,1.7954 ,2.3695 ,1.2801 ,1.3398 ,1.7434 ,3.2687 
2010/05/17,,6.7042 ,,,,,,,1.5433 ,1.7986 ,2.3698 ,1.3049 ,1.3436 ,1.7468 ,3.2257 
2010/05/18,,6.6965 ,,,,,,,1.5438 ,1.7988 ,2.3677 ,1.3087 ,1.3499 ,1.7464 ,3.2118 
2010/05/19,,6.6953 ,,,,,,,1.5454 ,1.8017 ,2.3695 ,1.3097 ,1.3501 ,1.7681 ,3.1865 
2010/05/20,,6.7046 ,,,,,,,1.5502 ,1.8113 ,2.3698 ,1.3359 ,1.4001 ,1.7689 ,3.2078 
2010/05/21,,,,,,,,,1.6588 ,1.8715 ,2.3679 ,1.4033 ,1.4244 ,1.7827 ,3.1972 
2010/05/24,,6.7310 ,,,,,,,1.7425 ,1.9430 ,2.3749 ,1.4735 ,1.4800 ,1.8000 ,3.2277 
2010/05/25,,6.7467 ,,,,,,,1.8550 ,2.0482 ,2.3810 ,1.5007 ,1.5300 ,1.7947 ,3.2030 
2010/05/26,,6.7876 ,,,,,,,2.1592 ,2.1917 ,2.3958 ,1.5970 ,1.6200 ,1.8388 ,3.2272 
2010/05/27,,6.7706 ,,,,,,,2.3200 ,2.3117 ,2.4012 ,1.6642 ,1.6730 ,1.8327 ,3.2416 
2010/05/28,,6.7372 ,,,,,,,2.2100 ,2.3792 ,2.4140 ,1.6210 ,1.6901 ,1.8298 ,3.2529 
2010/05/31,,6.7458 ,,,,5.31 ,,,2.3725 ,2.4967 ,2.4238 ,1.6646 ,1.6999 ,1.8162 ,3.2430 
2010/06/01,,6.7593 ,,,,,,,2.7408 ,2.9348 ,2.4498 ,1.7549 ,1.7599 ,1.8391 ,3.2726 
2010/06/02,,6.7767 ,,,,,,,2.7654 ,3.0533 ,2.4571 ,1.7763 ,1.7779 ,1.8175 ,3.2748 
2010/06/03,,6.7713 ,,,,,,,2.7513 ,3.0633 ,2.4669 ,1.7573 ,1.7644 ,1.8176 ,3.2478 
2010/06/04,,6.7693 ,,,,,,,2.1024 ,2.9692 ,2.4741 ,1.6477 ,1.7143 ,1.8341 ,3.2512 
2010/06/07,,6.8082 ,,,,,,,1.7041 ,2.9367 ,2.4767 ,1.5489 ,1.6605 ,1.8643 ,3.2260 
2010/06/08,,6.7911 ,,,,,,,1.8413 ,2.9675 ,2.4823 ,1.5643 ,1.6679 ,1.8723 ,3.2432 
2010/06/09,,6.7873 ,,,,,,,1.8454 ,2.9717 ,2.4874 ,1.5849 ,1.6924 ,1.8726 ,3.2845 
2010/06/10,,6.8009 ,,,,,,,1.9350 ,3.0107 ,2.4930 ,1.6684 ,1.7399 ,1.8660 ,3.2891 
2010/06/11,,6.7661 ,,,,,,,1.9788 ,3.0833 ,2.4997 ,1.7320 ,1.8399 ,2.0160 ,3.3320 
2010/06/12,,,,,,,,,2.2053 ,3.1628 ,2.5023 ,1.8429 ,1.8540 ,2.0070 ,3.3282 
2010/06/13,,,,,,,,,2.1892 ,3.1840 ,2.5188 ,1.8305 ,1.8457 ,2.0168 ,3.3282 
2010/06/14,,6.7406 ,,,,,,,,,,,,,
2010/06/15,,6.7512 ,,,,,,,,,,,,,
2010/06/17,,6.7516 ,,,,,,,2.1800 ,3.2233 ,2.5201 ,1.8378 ,1.8709 ,2.0288 ,3.3296 
2010/06/18,,6.7278 ,,,,,,,2.2142 ,3.3567 ,2.5261 ,1.8792 ,1.9201 ,2.1036 ,3.3836 
2010/06/21,,6.6283 ,,,,,,,2.2292 ,3.5542 ,2.5326 ,1.9301 ,2.0098 ,2.1201 ,3.3925 
2010/06/22,,6.6337 ,,,,,,,2.2463 ,3.7600 ,2.5436 ,1.9503 ,2.0260 ,2.1260 ,3.3807 
2010/06/23,,6.6511 ,,,,,,,2.2408 ,3.8796 ,2.5497 ,1.9592 ,2.0500 ,2.1270 ,3.4129 
2010/06/24,,6.6699 ,,,,,,,2.3067 ,3.9942 ,2.5574 ,2.0061 ,2.0743 ,2.1297 ,3.4179 
2010/06/25,,6.6796 ,,,,,,,2.2933 ,4.0525 ,2.5676 ,1.9947 ,2.0749 ,2.1395 ,3.3822 
2010/06/28,,6.6769 ,,,,,,,2.2883 ,3.9075 ,2.5997 ,1.9922 ,2.0515 ,2.1115 ,3.3435 
2010/06/29,,6.6790 ,,,,,,,2.2785 ,3.8904 ,2.6123 ,2.0074 ,2.0755 ,2.1220 ,3.2909 
2010/06/30,,6.6923 ,,,,5.31 ,,,2.2683 ,3.8830 ,2.6183 ,1.9735 ,2.0578 ,2.1346 ,3.2790 
2010/07/01,,,,,,,,,2.2492 ,3.5092 ,2.6138 ,1.9811 ,2.0585 ,2.1210 ,3.2848 
2010/07/02,,6.6599 ,,,,,,,2.1942 ,3.3483 ,2.6082 ,1.9688 ,2.0770 ,2.1181 ,3.2665 
2010/07/05,,6.6760 ,,,,,,,2.1650 ,3.1533 ,2.6059 ,1.9473 ,2.0722 ,2.1233 ,3.2517 
2010/07/06,,6.6805 ,,,,,,,2.1567 ,2.9808 ,2.6081 ,1.9504 ,2.0450 ,2.1167 ,3.2168 
2010/07/07,,6.6761 ,,,,,,,2.1291 ,2.8200 ,2.6033 ,1.9180 ,2.0268 ,2.0571 ,3.2233 
2010/07/08,,6.6706 ,,,,,,,1.9842 ,2.7150 ,2.6011 ,1.8095 ,1.9508 ,2.0385 ,3.2382 
2010/07/09,,6.6607 ,,,,,,,1.7206 ,2.6214 ,2.6136 ,1.6391 ,1.8588 ,2.0185 ,3.2347 
2010/07/12,,6.6599 ,,,,,,,1.6916 ,2.5950 ,2.6183 ,1.5293 ,1.7290 ,1.9845 ,3.2146 
2010/07/13,,6.6641 ,,,,,,,1.6479 ,2.5296 ,2.6192 ,1.4016 ,1.5385 ,1.9245 ,3.1767 
2010/07/14,,6.6603 ,,,,,,,1.5186 ,2.4624 ,2.6187 ,1.3056 ,1.4652 ,1.8745 ,3.1744 
2010/07/15,,6.6636 ,,,,,,,1.4608 ,2.3936 ,2.6161 ,1.2823 ,1.4655 ,1.8855 ,3.1817 
2010/07/16,,6.6625 ,,,,,,,1.4433 ,2.3750 ,2.6158 ,1.2709 ,1.4657 ,1.8771 ,3.1976 
2010/07/19,,6.6756 ,,,,,,,1.4442 ,2.4158 ,2.6140 ,1.2903 ,1.4701 ,1.8951 ,3.1901 
2010/07/20,,6.6825 ,,,,,,,1.4763 ,2.4008 ,2.6138 ,1.3298 ,1.5067 ,1.9011 ,3.2086 
2010/07/21,,6.6855 ,,,,,,,1.4729 ,2.3358 ,2.6145 ,1.3429 ,1.5181 ,1.8768 ,3.2144 
2010/07/22,,6.7181 ,,,,,,,1.4483 ,2.3008 ,2.6138 ,1.3283 ,1.5253 ,1.9302 ,3.2161 
2010/07/23,,6.7038 ,,,,,,,1.4275 ,2.2575 ,2.6154 ,1.3142 ,1.5133 ,1.9349 ,3.2528 
2010/07/26,,6.6917 ,,,,,,,1.4679 ,2.2492 ,2.6149 ,1.3578 ,1.5330 ,1.9578 ,3.2813 
2010/07/27,,6.6791 ,,,,,,,1.4404 ,2.2275 ,2.6147 ,1.3362 ,1.5154 ,1.9352 ,3.2816 
2010/07/28,,6.6918 ,,,,,,,1.4433 ,2.1906 ,2.6138 ,1.3358 ,1.5128 ,1.9306 ,3.2982 
2010/07/29,,6.6947 ,,,,,,,1.4446 ,2.1750 ,2.6126 ,1.3393 ,1.5178 ,1.9310 ,3.2993 
2010/07/30,,6.6848 ,,,,,,,1.4696 ,2.1575 ,2.6129 ,1.3497 ,1.5184 ,1.9318 ,3.2996 
2010/07/31,,,,,,5.31 ,,,,,,,,,
2010/08/02,,6.6768 ,,,,,,,1.4696 ,2.1525 ,2.6130 ,1.3513 ,1.5234 ,1.9327 ,3.3131 
2010/08/03,,6.6754 ,,,,,,,1.4675 ,2.1292 ,2.6123 ,1.3483 ,1.5330 ,1.9333 ,3.3105 
2010/08/04,,6.6753 ,,,,,,,1.4729 ,2.1171 ,2.6121 ,1.3425 ,1.5267 ,1.9307 ,3.2971 
2010/08/05,,6.6915 ,,,,,,,1.4725 ,2.1092 ,2.6122 ,1.3436 ,1.5321 ,1.9295 ,3.2967 
2010/08/06,,6.6779 ,,,,,,,1.4692 ,2.1129 ,2.6130 ,1.3356 ,1.5220 ,1.9056 ,3.2922 
2010/08/09,,6.6682 ,,,,,,,1.4658 ,2.1108 ,2.6140 ,1.3310 ,1.5178 ,1.9116 ,3.2975 
2010/08/10,,6.6761 ,,,,,,,1.4658 ,2.1158 ,2.6139 ,1.3260 ,1.5129 ,1.9118 ,3.2972 
2010/08/11,,6.6646 ,,,,,,,1.4688 ,2.1404 ,2.6158 ,1.3239 ,1.5128 ,1.9125 ,3.2685 
2010/08/12,,6.6920 ,,,,,,,1.4729 ,2.1292 ,2.6166 ,1.3223 ,1.5135 ,1.9129 ,3.2230 
2010/08/13,,6.6825 ,,,,,,,1.4729 ,2.1358 ,2.6173 ,1.3025 ,1.5145 ,1.9206 ,3.2374 
2010/08/16,,6.6889 ,,,,,,,1.4717 ,2.1376 ,2.6192 ,1.2760 ,1.4935 ,1.9334 ,3.2504 
2010/08/17,,6.6781 ,,,,,,,1.4717 ,2.1462 ,2.6204 ,1.2760 ,1.4937 ,1.9344 ,3.2461 
2010/08/18,,6.6778 ,,,,,,,1.4946 ,2.1479 ,2.6205 ,1.2796 ,1.4840 ,1.9358 ,3.2450 
2010/08/19,,6.6791 ,,,,,,,1.5204 ,2.1508 ,2.6227 ,1.2844 ,1.4742 ,1.9412 ,3.2501 
2010/08/20,,6.6798 ,,,,,,,1.5379 ,2.1452 ,2.6235 ,1.2998 ,1.4901 ,1.9194 ,3.2389 
2010/08/23,,6.6831 ,,,,,,,1.4967 ,2.1383 ,2.6241 ,1.3030 ,1.4778 ,1.9225 ,3.2346 
2010/08/24,,6.6855 ,,,,,,,1.5171 ,2.1400 ,2.6243 ,1.3337 ,1.5077 ,1.8928 ,3.2229 
2010/08/25,,6.6897 ,,,,,,,1.5417 ,2.1425 ,2.6238 ,1.3472 ,1.4994 ,1.8795 ,3.2154 
2010/08/26,,6.6895 ,,,,,,,1.6317 ,2.1608 ,2.6276 ,1.4171 ,1.5477 ,1.9100 ,3.2322 
2010/08/27,,6.6912 ,,,,,,,1.9563 ,2.3636 ,2.6336 ,1.4792 ,1.5674 ,1.9005 ,3.2379 
2010/08/30,,6.6907 ,,,,,,,2.0533 ,2.5908 ,2.6417 ,1.5110 ,1.6073 ,1.9023 ,3.2304 
2010/08/31,,6.7138 ,,,,5.31 ,,,2.3200 ,2.8433 ,2.6455 ,1.5602 ,1.6377 ,1.9163 ,3.2301 
2010/09/01,,6.7232 ,,,,,,,2.5350 ,2.9017 ,2.6456 ,1.6026 ,1.6677 ,1.9086 ,3.2358 
2010/09/02,,6.7135 ,,,,,,,1.9806 ,2.8017 ,2.6443 ,1.5567 ,1.6722 ,1.9001 ,3.2418 
2010/09/03,,6.7086 ,,,,,,,1.9792 ,2.7500 ,2.6424 ,1.5591 ,1.6787 ,1.9161 ,3.2406 
2010/09/06,,6.7035 ,,,,,,,1.9729 ,2.6225 ,2.6441 ,1.5699 ,1.6991 ,1.9161 ,3.2580 
2010/09/07,,6.7053 ,,,,,,,1.8400 ,2.5967 ,2.6449 ,1.5219 ,1.6638 ,1.9222 ,3.2739 
2010/09/08,,6.7173 ,,,,,,,1.7054 ,2.5792 ,2.6451 ,1.4910 ,1.7030 ,1.9263 ,3.2632 
2010/09/09,,6.7052 ,,,,,,,1.6383 ,2.5626 ,2.6451 ,1.5074 ,1.7380 ,1.9267 ,3.2681 
2010/09/10,,6.6880 ,,,,,,,1.5583 ,2.6242 ,2.6463 ,1.4975 ,1.7078 ,1.9123 ,3.2989 
2010/09/13,,6.6495 ,,,,,,,1.4963 ,2.8392 ,2.6495 ,1.5121 ,1.7246 ,1.8949 ,3.3251 
2010/09/14,,6.6529 ,,,,,,,1.5988 ,3.0933 ,2.6520 ,1.5040 ,1.7296 ,1.9017 ,3.3205 
2010/09/15,,6.6599 ,,,,,,,1.6696 ,3.2661 ,2.6536 ,1.5294 ,1.7330 ,1.9027 ,3.3443 
2010/09/16,,6.6556 ,,,,,,,1.6588 ,3.3158 ,2.6555 ,1.5211 ,1.7170 ,1.9176 ,3.3401 
2010/09/17,,6.6389 ,,,,,,,1.5204 ,3.3629 ,2.6580 ,1.4743 ,1.7283 ,1.9335 ,3.3504 
2010/09/19,,,,,,,,,1.4530 ,3.2708 ,2.6592 ,1.4506 ,1.7310 ,1.9346 ,3.3500 
2010/09/20,,6.6197 ,,,,,,,1.6446 ,3.2342 ,2.6597 ,1.5305 ,1.7449 ,1.9268 ,3.3388 
