date,syhg,mtkc,gysy,fdc,,,
2010-05-21,2734.59,4891.33,1930.97,2538.52,,,
2010-05-24,2828.05,5154.09,1996.5,2675.13,,,
2010-05-25,2755.07,4999.58,1961.95,2605.7,,,
2010-05-26,2754.34,4972.24,1985.2,2613.25,,,
2010-05-27,2783.68,5103.71,2013.67,2637.08,,,
2010-05-28,2778.8,5096.79,2006.6,2603.28,,,
2010-05-31,2702.79,4912.02,1952.2,2513.18,,,
2010-06-01,2663.45,4825.61,1927.31,2469.33,,,
2010-06-02,2661.06,4906.8,1938.38,2536.93,,,
2010-06-03,2632.66,4827.46,1924.57,2496.58,,,
2010-06-04,2636.18,4838.32,1928.1,2530.06,,,
2010-06-07,2575.17,4698.28,1896.56,2492.07,,,
2010-06-08,2569.17,4691.45,1902.15,2500.94,,,
2010-06-09,2638.58,4836.06,1942.78,2596.89,,,
2010-06-10,2605.62,4755.58,1942.48,2557.33,,,
2010-06-11,2626.76,4845.03,1940,2559.47,,,
2010-06-17,2629.3,4801.56,1937.34,2571.56,,,
2010-06-18,2610.68,4706.28,1890.91,2554.46,,,
2010-06-21,2675.94,4863.1,1931.51,2672.97,,,
2010-06-22,2700.56,4847.87,1940.55,2681.46,,,
2010-06-23,2673.28,4727.46,1923.62,2663.53,,,
2010-06-24,2658.57,4711.89,1923.23,2657.17,,,
2010-06-25,2648.58,4645.79,1912.13,2618.2,,,
2010-06-28,2614.23,4542.67,1901.42,2593.67,,,
2010-06-29,2529.19,4322.76,1835.47,2432.52,,,
2010-06-30,2469.84,4165.52,1819.28,2366.97,,,
2010-07-01,2463.7,4076.34,1800.63,2351.58,,,
2010-07-02,2467.67,4040.84,1806.86,2433.79,,,
2010-07-05,2446.25,3936.2,1800.83,2435.12,,,
2010-07-06,2491,4071.41,1825.25,2473.55,,,
2010-07-07,2499.46,4097.97,1826.76,2485.54,,,
2010-07-08,2506.45,4057.92,1813.95,2488.26,,,
2010-07-09,2555.33,4325.3,1849.73,2559.71,,,
2010-07-12,2574.5,4412.03,1861.77,2642.33,,,
2010-07-13,2525.01,4331.89,1847.91,2555.65,,,
2010-07-14,2562.1,4355.07,1865.55,2570.95,,,
2010-07-15,2507.12,4235.86,1829.18,2550.64,,,
2010-07-16,2481.97,4350.62,1835.7,2571.13,,,
2010-07-19,2555.75,4606.26,1864.9,2637.54,,,
2010-07-20,2645.93,4762.56,1898.4,2689.51,,,
2010-07-21,2656.84,4747.46,1937.11,2678.22,,,
2010-07-22,2675.28,4806.5,1939.12,2747.95,,,
2010-07-23,2677.31,4844.43,1927.62,2746.58,,,
2010-07-26,2707.3,4881.65,1944.71,2765.91,,,
2010-07-27,2695.17,4847.43,1933.44,2755.76,,,
2010-07-28,2765.24,5012.22,1968.33,2849.12,,,
2010-07-29,2795.87,5024.1,1988.93,2866.72,,,
2010-07-30,2810.07,4929.13,1982.53,2874.7,,,
2010-08-02,2817.98,5007.74,2006.43,2916.45,,,
2010-08-03,2758.43,5018.96,1970.3,2891.53,,,
2010-08-04,2755.81,5039.92,1976.69,2889.67,,,
2010-08-05,2716.77,4947.82,1973.83,2827.03,,,
2010-08-06,2753.17,5028.69,2005.82,2843.43,,,
2010-08-09,2747.32,5105.39,2018.42,2868.13,,,
2010-08-10,2640.92,4918.08,1967.26,2782.7,,,
2010-08-11,2642.61,4926.61,1978.42,2837.28,,,
2010-08-12,2610.55,4829.14,1953.1,2840.52,,,
2010-08-13,2648.34,4915.7,1979.36,2898.69,,,
2010-08-16,2716.82,5073.14,2019.76,2931.26,,,
2010-08-17,2705.55,5132.51,2029.39,2972.86,,,
2010-08-18,2686.84,5142.8,2023.54,2939.43,,,
2010-08-19,2780.02,5294.9,2026.12,2932.34,,,
2010-08-20,2712.8,5105.2,1997.99,2876.08,,,
2010-08-23,2693.88,5065.09,2000.18,2852.54,,,
2010-08-24,2697.35,5090.73,2017.18,2901.01,,,
2010-08-25,2628.94,4939.04,1968.97,2802.19,,,
2010-08-26,2635.43,5008.56,1979.18,2806.54,,,
2010-08-27,2642.13,4982.05,1980.53,2806.58,,,
2010-08-30,2675.33,5083.13,2006.19,2836.19,,,
2010-08-31,2644.45,5062.76,1992.22,2818.62,,,
2010-09-01,2632.11,5067.91,1969.09,2785.36,,,
2010-09-02,2682.53,5117.21,1992.75,2806.44,,,
2010-09-03,2666.65,5082.79,1993.15,2794.1,,,
2010-09-06,2741.97,5247.11,2014.5,2839.82,,,
2010-09-07,2732.22,5253.41,2015.08,2855.39,,,
2010-09-08,2712.8,5282.37,2019.19,2820.29,,,
2010-09-09,2660.45,5123.32,2002.8,2743.29,,,
2010-09-10,2659.52,5110.58,2004.97,2711.3,,,
2010-09-13,2693.03,5146.52,2025.35,2772.81,,,
2010-09-14,2694.24,5085.76,2065.82,2753.04,,,
2010-09-15,2686.83,4960.68,2041.69,2727.79,,,
2010-09-16,2630.78,4852.44,2005.14,2674.33,,,
2010-09-17,2617.17,4850.97,2004.46,2681,,,
2010-09-20,2608.38,4787.86,1980.48,2648.23,,,
2010-09-21,2623.05,4796.95,1967.87,2650.15,,,
2010-09-27,2632.02,4909.71,1996.87,2688.54,,,
2010-09-28,2590.96,4815.21,1976.87,2645.15,,,
2010-09-29,2610.43,4952.77,1974.94,2621.9,,,
2010-09-30,2667.2,5056.6,1993.58,2723.05,,,
2010-10-08,2753.61,5534.88,2030.51,2760.21,,,
2010-10-11,2823.46,5894.26,2107.76,2843.26,,,
2010-10-12,2932.1,6142.13,2128.02,2848.16,,,
2010-10-13,2903.5,6085.02,2123.3,2992.93,,,
2010-10-14,2923.69,6218.29,2093.91,2935.85,,,
2010-10-15,3038.01,6386,2129.04,2965.34,,,
2010-10-18,3014.68,6268,2140.46,3006.37,,,
2010-10-19,3035.76,6551.7,2165.63,3011.49,,,
2010-10-20,2953.71,6777.47,2131.02,2878.24,,,
2010-10-21,2962.5,6742.67,2131.64,2880.6,,,
2010-10-22,2936.25,6735.11,2132.11,2888.54,,,
2010-10-25,2997.47,7022.54,2167.28,2937.6,,,
2010-10-26,2991.33,6966.2,2162.8,2986.92,,,
2010-10-27,2947.08,6757.04,2142.32,2998.52,,,
2010-10-28,2939.51,6651.24,2139.92,3030.28,,,
2010-10-29,2910.88,6622.27,2143.03,2984.51,,,
2010-11-01,2973.99,6979.86,2183.85,3015.48,,,
2010-11-02,2972.53,6775.1,2192.47,3041.05,,,
2010-11-03,2975.04,6552.35,2169.77,3032.92,,,
2010-11-04,3028.9,6714.61,2196.55,3051.9,,,
2010-11-05,3039.03,6804.38,2226.74,3103.39,,,
2010-11-08,3059.39,6807.34,2267.86,3172.98,,,
2010-11-09,3013.86,6866.56,2258.77,3115.33,,,
2010-11-10,2984.46,6783.22,2244.97,3042.53,,,
2010-11-11,3121.52,6911.43,2258.72,3030.96,,,
2010-11-12,3009.11,6463.19,2141.81,2824.93,,,
2010-11-15,2954.55,6274.71,2186.04,2855.57,,,
2010-11-16,2808.89,5831.76,2109.59,2737.89,,,
2010-11-17,2745.68,5748.4,2065.74,2715.25,,,
2010-11-18,2771.12,5879.97,2071.43,2753.59,,,
2010-11-19,2770.63,5870.25,2100.97,2773.83,,,
2010-11-22,2751.93,5809.87,2106.83,2776.7,,,
2010-11-23,2698.98,5692.33,2076.36,2711.38,,,
2010-11-24,2728.3,5814.24,2118.12,2759.19,,,
2010-11-25,2759.3,5884.48,2143.98,2834.74,,,
2010-11-26,2742.46,5960.08,2132.31,2778.57,,,
2010-11-29,2746.18,5827.72,2130.82,2767.3,,,
2010-11-30,2715.26,5762.05,2081.22,2713.43,,,
2010-12-01,2707.65,5755.28,2119.21,2726.71,,,
2010-12-02,2729.2,5805.06,2120.54,2743.7,,,
2010-12-03,2733.72,5771.29,2112.85,2782.83,,,
2010-12-06,2776.35,5816.83,2090.38,2765.38,,,
2010-12-07,2761.8,5905.07,2101.02,2809.18,,,
2010-12-08,2732.7,5820.49,2086.68,2774.68,,,
2010-12-09,2694.42,5695.68,2059.95,2692.31,,,
2010-12-10,2711.84,5782.17,2084.64,2700.3,,,
2010-12-13,2789.53,6061.04,2139.96,2776.97,,,
2010-12-14,2768.24,6072.01,2153.38,2802.72,,,
2010-12-15,2767.84,6154.59,2152.2,2783.01,,,
2010-12-16,2751.2,6151.39,2145.55,2810.21,,,
2010-12-17,2738.77,6087.09,2142.44,2800.36,,,
2010-12-20,2697.09,5983.01,2107.75,2761.8,,,
2010-12-21,2744.38,6272.51,2135.64,2932.81,,,
2010-12-22,2736.27,6176.07,2123.2,2898.87,,,
2010-12-23,2703.44,6184.18,2092.52,2873.19,,,
2010-12-24,2694.2,6071.38,2069.75,2903.76,,,
2010-12-27,2662.09,6118.43,2027.72,2820.11,,,
2010-12-28,2637.77,5942.99,1986.46,2704.92,,,
2010-12-29,2646.17,5880.83,1998.76,2729.24,,,
2010-12-30,2639,5903.88,1991.92,2691.77,,,
2010-12-31,2662.06,6135.53,2024.61,2732.01,,,
2011-01-04,2704.52,6312.63,2046.64,2871.18,,,
2011-01-05,2684.93,6445.66,2051.58,2870,,,
2011-01-06,2684.93,6352.41,2053.75,2885.95,,,
2011-01-07,2665.85,6194.16,2043.55,2899.81,,,
2011-01-10,2667.14,6108.54,2006.85,2832.06,,,
2011-01-11,2678.67,6124.02,2006.25,2906.59,,,
2011-01-12,2705.07,6122.55,2012.58,2939.22,,,
2011-01-13,2729.13,6127.84,2007.29,2900.41,,,
2011-01-14,2708.21,5887.37,1979.91,2884.21,,,
2011-01-17,2619.37,5642.85,1906.53,2706.89,,,
2011-01-18,2603.57,5605.82,1904.33,2697.72,,,
2011-01-19,2658.83,5828.73,1938.07,2754.42,,,
2011-01-20,2559.78,5538.18,1894.23,2656.02,,,
2011-01-21,2585.83,5571.39,1914.8,2714.57,,,
2011-01-24,2553.27,5363.36,1881.42,2714.36,,,
2011-01-25,2521.29,5306.04,1877.4,2695.07,,,
2011-01-26,2558.96,5393.58,1904.13,2721.45,,,
2011-01-27,2580.39,5538.23,1926.35,2674.41,,,
2011-01-28,2593.8,5567.39,1936.75,2677.24,,,
2011-01-31,2663.5,5635.54,1981.12,2679.17,,,
2011-02-01,2669.16,5715.44,1975.61,2691.65,,,
2011-02-09,2614.2,5462.35,1972.63,2646.16,,,
2011-02-10,2650.41,5623.54,1999.75,2703.98,,,
2011-02-11,2668.19,5611.14,2015.83,2772.96,,,
2011-02-14,2726.5,5904.96,2047.23,2837.08,,,
